GBP_RAW,CNY_RAW,DOLLAR_EX,DOLLAR_PRICE,USD_RAW,EUR_RAW,DATE,LOCAL_PRICE,JPY_RAW
-0.28769,0.93167,3.6725,2.45064669843431,-0.19914,-0.31606,2005-06-01,9,0.04608
-0.32824,0.87318,3.6726,2.45057997059304,-0.20949,-0.34945,2006-05-01,9,0.09889
-0.28976,0.9244,3.6726,2.72286663399227,-0.15439,-0.28519,2007-01-01,10,0.18236
-0.32055,0.88229,3.67285,2.72268129654083,-0.20156,-0.34659,2007-06-01,10,0.18937
-0.40429,0.48854,3.67285,2.72268129654083,-0.23734,-0.49039,2008-06-01,10,0.03904
-0.26183,0.4882,3.673,2.72257010618023,-0.23738,-0.41033,2009-07-01,10,-0.21245
-0.18427,0.6357,3.673,2.99482711679826,-0.16346,-0.38174,2010-01-01,11,-0.14329
-0.14026,0.53761,3.67285,2.99494942619492,-0.19778,-0.30873,2010-07-01,11,-0.18406
-0.1605,0.43727,3.67305,3.2670396536938,-0.1963,-0.3371,2011-07-01,12,-0.19993
-0.1455,0.33982,3.673,3.26708412741628,-0.22161,-0.26263,2012-01-01,12,-0.21467
-0.21508,0.33368,3.67295,3.26712860234961,-0.24503,-0.24797,2012-07-01,12,-0.20139
-0.23096,0.27014,3.67305,3.2670396536938,-0.25195,-0.33025,2013-01-01,12,-0.07027
-0.18731,0.25254,3.673,3.26708412741628,-0.28301,-0.29882,2013-07-01,12,0.02204
-0.29388,0.19097,3.673,3.26708412741628,-0.29348,-0.34156,2014-01-01,12,0.09864
-0.28138,0.29808,3.67305,3.53929295816828,-0.26188,-0.2855,2014-07-01,13,-0.0288
-0.18977,0.27816,3.67305,3.53929295816828,-0.26111,-0.16993,2015-01-01,13,0.1265
-0.21564,0.29275,3.67295,3.53938931921208,-0.26109,-0.12692,2015-07-01,13,0.18555
-0.16169,0.31881,3.6731,3.53924477961395,-0.2821,-0.11497,2016-01-01,13,0.1349
-0.10177,0.2707,3.6731,3.53924477961395,-0.29777,-0.15845,2016-07-01,13,0.02088
-0.05071,0.2508,3.673,3.5393411380343,-0.30053,-0.12862,2017-01-01,13,0.08662
-0.07293,0.30663,3.673,3.81159814865233,-0.28083,-0.14634,2017-07-01,14,0.13405
-0.13629,0.20177,3.673,3.81159814865233,-0.27811,-0.21179,2018-01-01,14,0.11063
