Usd_raw,Local_price,Dollar_ex,Gbp_raw,Jpy_raw,Eur_raw,Cny_raw,Dollar_price,Date
-0.34341,2.95,1.79,-0.45102,-0.40581,-0.30778,0.37836,1.64804469273743,2000-04-01
-0.35282,3.6,2.19,-0.42234,-0.30668,-0.27315,0.37484,1.64383561643836,2001-04-01
-0.38214,3.6,2.34,-0.46683,-0.23664,-0.35258,0.21319,1.53846153846154,2002-04-01
-0.45311,4.55,3.07,-0.52863,-0.32118,-0.50282,0.23956,1.48208469055375,2003-04-01
-0.41444,5.4,3.18,-0.49539,-0.26761,-0.48354,0.35196,1.69811320754717,2004-05-01
-0.21774,5.9,2.4648,-0.30424,0.02178,-0.33195,0.88679,2.39370334307043,2005-06-01
-0.12967,6.2,2.2615,-0.17327,0.25349,-0.21978,1.10553,2.74154322352421,2006-01-01
-0.10414,6.4,2.3045,-0.23871,0.24534,-0.26275,1.12282,2.77717509221089,2006-05-01
-0.0684,6.4,2.1335,-0.21753,0.30259,-0.2125,1.1201,2.99976564330912,2007-01-01
0.05774,6.9,1.913,-0.09989,0.57564,-0.13439,1.49358,3.60690015682175,2007-06-01
0.32579,7.5,1.5846,0.03557,0.80625,-0.11411,1.58766,4.73305566073457,2008-06-01
0.12628,8.03,1.9971,0.09017,0.16309,-0.12915,1.19785,4.0208302037955,2009-07-01
0.32914,8.2,1.7233,0.29607,0.36117,-0.01768,1.59888,4.75831253989439,2010-01-01
0.31442,8.71,1.77495,0.40867,0.3369,0.13264,1.51935,4.9071804839573,2010-07-01
0.51597,9.5,1.5416,0.58351,0.50912,0.25039,1.71105,6.16242864556305,2011-07-01
0.35296,10.25,1.805,0.48524,0.36501,0.28166,1.32881,5.6786703601108,2012-01-01
0.14061,10.08,2.04215,0.18586,0.20654,0.13616,1.01492,4.93597434076831,2012-07-01
0.29225,11.25,1.99335,0.32851,0.60609,0.15698,1.19415,5.64376552035518,2013-01-01
0.1598,12,2.27065,0.31461,0.65324,0.13423,1.0261,5.28483033492612,2013-07-01
0.13479,12.4,2.36305,0.13414,0.76458,0.05756,0.91289,5.24745561879774,2014-01-01
0.2211,13,2.22025,0.18884,0.6067,0.18202,1.14747,5.85519648688211,2014-07-01
0.08702,13.5,2.59275,0.19197,0.65725,0.22116,0.88036,5.20682672837721,2015-01-01
-0.10595,13.5,3.15235,-0.05095,0.43447,0.05639,0.56418,4.28251939029613,2015-07-01
-0.31963,13.5,4.0248,-0.20551,0.07557,-0.16124,0.24986,3.35420393559928,2016-01-01
-0.05123,15.5,3.24145,0.21359,0.37929,0.137,0.71682,4.78181060944948,2016-07-01
0.01145,16.5,3.22395,0.37269,0.57128,0.26003,0.80867,5.11794537756479,2017-01-01
-0.03744,16.5,3.2343,0.24083,0.51785,0.14256,0.74883,5.10156757258139,2017-07-01
-0.03188,16.5,3.2279,0.15831,0.48945,0.05705,0.61168,5.11168251804579,2018-01-01
-0.20092,16.9,3.83835,0.04051,0.25597,-0.07015,0.42225,4.40293355217737,2018-07-01
-0.18539,16.9,3.71795,0.11601,0.26389,-0.02077,0.48973,4.54551567396011,2019-01-01
-0.19923,17.5,3.8073,0.12072,0.28187,0.00529,0.50689,4.59643316786174,2019-07-09
-0.15264,19.9,4.1419,0.08941,0.35562,0.04856,0.53858,4.80455829450252,2020-01-14
-0.31462,20.9,5.34045,-0.08505,0.07647,-0.18232,0.26306,3.91352788622682,2020-07-01
-0.29709,21.9,5.5046,-0.10348,0.06394,-0.22957,0.15005,3.97849071685499,2021-01-01
-0.22778,22.9,5.24865,-0.08155,0.22987,-0.13132,0.2621,4.36302668305183,2021-07-01
