Eur_raw,Dollar_price,Usd_raw,Jpy_raw,Date,Dollar_ex,Cny_raw,Gbp_raw,Local_price
-0.28628,2.34671441929649,-0.19079,0.01213,2004-05-01,2769.83,0.86835,-0.30265,6500
-0.22067,2.79245607251794,-0.08743,0.19199,2005-06-01,2327.7,1.20109,-0.18833,6500
-0.31077,2.59626138360761,-0.1625,0.16422,2006-05-01,2503.6,0.98453,-0.2883,6500
-0.1911,3.08128565527559,-0.04308,0.33799,2007-01-01,2239.325,1.17771,-0.19627,6900
-0.15342,3.52760736196319,0.03449,0.541,2007-06-01,1956,1.43876,-0.11967,6900
-0.27157,3.89180774469741,0.09014,0.48521,2008-06-01,1798.65,1.12773,-0.14849,7000
-0.27653,3.34033212445123,-0.06433,-0.03376,2009-07-01,2095.6,0.82588,-0.09434,7000
-0.1922,3.91296048864287,0.09301,0.11935,2010-01-01,2095.6,1.13717,0.06582,8200
0.01296,4.38866440097407,0.17554,0.19564,2010-07-01,1868.45,1.25315,0.25983,8200
-0.03733,4.74442247952556,0.16714,0.16186,2011-07-01,1770.5,1.08722,0.21913,8400
0.0236,4.53526982155873,0.08054,0.09017,2012-01-01,1852.15,0.8599,0.18619,8400
0.09702,4.76592914836725,0.10131,0.16497,2012-07-01,1804.475,0.9455,0.145,8600
-0.00573,4.85005710096296,0.11051,0.38022,2013-01-01,1773.175,0.88558,0.14168,8600
-0.03918,4.47683498178032,-0.01752,0.40048,2013-07-01,1921,0.71633,0.11362,8600
-0.12587,4.33731172410663,-0.06203,0.45853,2014-01-01,1982.795,0.58111,-0.06257,8600
-0.06036,4.65456119936135,-0.02929,0.27724,2014-07-01,1847.65,0.70712,-0.05494,8600
-0.21657,3.34040879838307,-0.30263,0.0632,2015-01-01,2364.98,0.20633,-0.2353,7900
-0.28062,2.91631289453284,-0.39117,-0.02315,2015-07-01,2708.9,0.06517,-0.35372,7900
-0.39288,2.42785580380467,-0.50753,-0.22148,2016-01-01,3253.9,-0.09532,-0.42493,7900
-0.2775,3.03857972004097,-0.39711,-0.12353,2016-07-01,2929,0.09095,-0.22883,8900
-0.18609,3.30592311224277,-0.34666,0.01496,2017-01-01,2994.625,0.16831,-0.11331,9900
-0.27355,3.24360452925142,-0.388,-0.03494,2017-07-01,3052.16,0.11192,-0.21108,9900
-0.20748,3.83246839092584,-0.27415,0.11671,2018-01-01,2844.12,0.20835,-0.13156,10900
-0.12558,4.14046978674841,-0.24855,0.1811,2018-07-01,2874.07,0.33747,-0.02152,11900
-0.19674,3.72865423781921,-0.33178,0.03676,2019-01-01,3191.5,0.22202,-0.08454,11900
-0.19347,3.68763557483731,-0.35755,0.02842,2019-07-09,3227,0.20895,-0.10086,11900
-0.21004,3.61963423443976,-0.36162,0.02129,2020-01-14,3287.625,0.15912,-0.17926,11900
-0.3126,3.2900102570908,-0.42382,-0.09504,2020-07-01,3617.01,0.06182,-0.23083,11900
-0.27532,3.74223378124549,-0.33883,7.6e-4,2021-01-01,3460.5,0.08176,-0.15672,12950
-0.32892,3.37054378974053,-0.40344,-0.0499,2021-07-01,3842.11,-0.02499,-0.29047,12950
