CNY_RAW,DOLLAR_EX,DOLLAR_PRICE,LOCAL_PRICE,USD_RAW,JPY_RAW,GBP_RAW,EUR_RAW,DATE
1.57463,8.04,3.07835820895522,24.75,0.22644,0.10988,0.02544,0.29299,2000-04-01
1.44681,8.46,2.92553191489362,24.75,0.15178,0.2339,0.02805,0.29357,2001-04-01
1.32901,8.38,2.95346062052506,24.75,0.18613,0.46546,0.02355,0.24288,2002-04-01
2.42317,6.78,4.0929203539823,27.75,0.5103,0.87462,0.30174,0.373,2003-04-01
2.55197,6.22,4.46141479099679,27.75,0.53842,0.9242,0.32575,0.35688,2004-05-01
2.60667,6.0647,4.57565914224941,27.75,0.49531,0.95317,0.32998,0.277,2005-06-01
2.45032,6.1769,4.49254480402791,27.75,0.4262,1.05408,0.35475,0.27853,2006-01-01
2.6457,5.81825,4.76947535771065,27.75,0.53854,1.13873,0.30743,0.26615,2006-05-01
2.40905,5.75305,4.82352838928916,27.75,0.49799,1.09453,0.25818,0.26628,2007-01-01
2.51347,5.4603,5.08213834404703,27.75,0.49036,1.22008,0.26826,0.21965,2007-06-01
2.25401,4.7044,5.95187484057478,28,0.66719,1.27138,0.30224,0.11402,2008-06-01
2.02111,5.3375,5.52693208430913,29.5,0.54816,0.59875,0.49851,0.19705,2009-07-01
2.2737,5.16195,5.99385890990808,30.94,0.67426,0.71462,0.63261,0.23739,2010-01-01
1.51683,5.81365,4.90225589775786,28.5,0.3131,0.33556,0.40726,0.1315,2010-07-01
1.41188,5.19845,5.48240340870837,28.5,0.34868,0.34259,0.40877,0.11241,2011-07-01
1.20394,5.86135,5.37418854018272,31.5,0.28042,0.29182,0.40561,0.21294,2012-01-01
0.89615,6.1356,4.64502249168785,28.5,0.07337,0.13542,0.11596,0.06919,2012-07-01
1.01531,5.49795,5.18375030693258,28.5,0.18692,0.47518,0.22023,0.06267,2013-01-01
0.88366,5.8006,4.91328483260352,28.5,0.07826,0.53701,0.22219,0.05449,2013-07-01
0.88848,5.5014,5.18049950921584,28.5,0.12031,0.74207,0.11967,0.04407,2014-01-01
0.88719,5.5388,5.14551888495703,28.5,0.0731,0.41196,0.04475,0.03876,2014-07-01
0.94146,6.4174,5.37600897559759,34.5,0.12234,0.7111,0.23071,0.26084,2015-01-01
0.85491,6.81105,5.07851212368137,34.59,0.06023,0.7011,0.12545,0.25275,2015-07-01
0.61065,6.9405,4.32245515452777,30,-0.12323,0.38605,0.02383,0.08088,2016-01-01
0.59401,6.75715,4.43974160703847,30,-0.1191,0.28063,0.12677,0.05567,2016-07-01
0.49297,7.10125,4.22460834360148,30,-0.1651,0.29701,0.13309000000000001,0.04009,2017-01-01
0.57912,6.51255,4.60649054517816,30,-0.13085,0.37055,0.12041,0.03168,2017-07-01
0.55504,6.0827,4.93202031992372,30,-0.06591,0.4371,0.1176,0.0199,2018-01-01
0.52392,6.3591,4.71764872387602,30,-0.1438,0.34574,0.11488,-0.00368,2018-07-01
0.50904,6.51545,4.60444021518084,30,-0.17483,0.28027,0.13048,-0.00807,2019-01-01
0.4769,6.6593,4.50497800069076,30,-0.21516,0.25637,0.09842,-0.01471,2019-07-09
0.42975,6.71935,4.46471756940776,30,-0.21257,0.25974,0.01236,-0.02561,2020-01-14
0.47835,6.54935,4.58060723583256,30,-0.19779,0.25996,0.0709,-0.04294,2020-07-01
0.41684,6.12065,4.90144020651401,30,-0.13402,0.31076,0.1045,-0.05084,2021-01-01
0.37228,6.3239,4.7439080314363,30,-0.16037,0.33723,-0.00137,-0.05549,2021-07-01
