gbp_raw,dollar_price,eur_raw,local_price,date,usd_raw,cny_raw,dollar_ex,jpy_raw
-0.39206,1.82504719949654,-0.23343,14500,2000-04-01,-0.27289,0.5264,7945,-0.34199
-0.52412,1.35421464762782,-0.40121,14700,2001-04-01,-0.46684,0.13262,10855,-0.42883
-0.41199,1.69671261930011,-0.28599,16000,2002-04-01,-0.31859,0.33798,9430,-0.15812
-0.41413,1.84210526315789,-0.38205,16100,2003-04-01,-0.32026,0.54067,8740,-0.15629
-0.47541,1.76535087719298,-0.46309,16100,2004-05-01,-0.39126,0.40549,9120,-0.23861
-0.5554,1.5295966474594,-0.57311,14600,2005-06-01,-0.50013,0.20567,9545,-0.34708
-0.5346,1.54334038054968,-0.56078,14600,2006-01-01,-0.51005,0.1853,9460,-0.29435
-0.57081,1.5656836461126,-0.58436,14600,2006-05-01,-0.49494,0.19678,9325,-0.29792
-0.54374,1.74917491749175,-0.5408,15900,2007-01-01,-0.45678,0.23624,9090,-0.24045
-0.55986,1.76372712146423,-0.57673,15900,2007-06-01,-0.48278,0.21933,9015,-0.22953
-0.55294,2.04326923076923,-0.61756,18700,2008-06-01,-0.42766,0.1171,9152,-0.22024
-0.44445,2.04901960784314,-0.55621,20900,2009-07-01,-0.42604,0.12003,10200,-0.40729
-0.38919,2.24248927038627,-0.53705,20900,2010-01-01,-0.37361,0.22479,9320,-0.35851
-0.27846,2.51351649564162,-0.41985,22780,2010-07-01,-0.32674,0.29044,9063,-0.31522
-0.32062,2.64390472838203,-0.46354,22534,2011-07-01,-0.34959,0.16314,8523,-0.35253
-0.35658,2.46004366812227,-0.44477,22534,2012-01-01,-0.41389,0.00886,9160,-0.40867
-0.38687,2.55206960189823,-0.41257,24200,2012-07-01,-0.41027,0.04178,9482.5,-0.37618
-0.32668,2.86040440235475,-0.41361,27939,2013-01-01,-0.34505,0.11205,9767.5,-0.18599
-0.30257,2.80371299548419,-0.39827,27939,2013-07-01,-0.3847,0.07489,9965,-0.12292
-0.50259,2.30140032948929,-0.53618,27939,2014-01-01,-0.50231,-0.16106,12140,-0.2261
-0.50693,2.42842242503259,-0.50976,27939,2014-07-01,-0.49355,-0.10934,11505,-0.33363
-0.4875,2.23870192307692,-0.47496,27939,2015-01-01,-0.53263,-0.19153,12480,-0.28746
-0.49349,2.28558582187418,-0.4362,30500,2015-07-01,-0.52284,-0.1652,13344.5,-0.23442
-0.48204,2.18677182290733,-0.45317,30500,2016-01-01,-0.55644,-0.18515,13947.5,-0.29879
-0.39999,2.36415633937083,-0.43786,31000,2016-07-01,-0.53092,-0.15119,13112.5,-0.31807
-0.3762,2.32575587065796,-0.4274,31000,2017-01-01,-0.54036,-0.17808,13329,-0.28596
-0.41555,2.40293204682299,-0.46183,32126,2017-07-01,-0.54662,-0.17627,13369.5,-0.28506
-0.39359,2.67609851036754,-0.44661,35750,2018-01-01,-0.49316,-0.15624,13359,-0.22023
-0.48161,2.19359331476323,-0.53674,31500,2018-07-01,-0.60189,-0.29142,14360,-0.37426
-0.42497,2.34208658623137,-0.49545,33000,2019-01-01,-0.58027,-0.23241,14090,-0.34878
-0.44781,2.26468506723284,-0.50469,32000,2019-07-09,-0.60546,-0.25755,14130,-0.36841
-0.45262,2.41404535479151,-0.47315,33000,2020-01-14,-0.57424,-0.22694,13670,-0.31887
-0.44933,2.35538621406304,-0.50787,34000,2020-07-01,-0.5875,-0.23982,14435,-0.35212
-0.45759,2.4070796460177,-0.53387,34000,2021-01-01,-0.57472,-0.30419,14125,-0.35629
-0.50699,2.34200103323575,-0.53371,34000,2021-07-01,-0.58549,-0.32252,14517.5,-0.33983
