Eur_raw,Local_price,Dollar_price,Usd_raw,Jpy_raw,Cny_raw,Dollar_ex,Date,Gbp_raw
0.13726,3000,2.70758122743682,0.07872,-0.0238,1.26452,1108,2000-04-01,-0.09807
0.00113,3000,2.26415094339623,-0.1086,-0.04505,0.89365000000000006,1325,2001-04-01,-0.20436000000000001
4.2e-4,3100,2.37730061349693,-0.04526,0.17958,0.87467,1304,2002-04-01,-0.17612
-0.09261,3300,2.70491803278689,-0.00188,0.23889,1.2623,1220,2003-04-01,-0.13971
-0.17312,3200,2.71877655055225,-0.06249,0.1726,1.16456,1177,2004-05-01,-0.19209
-0.3061,2500,2.48632521133764,-0.18748,0.06131,0.95979,1005.5,2005-06-01,-0.27732
-0.27211,2500,2.55767558442887,-0.18804,0.16942,0.96432,977.45,2006-01-01,-0.22872
-0.30316,2500,2.62494750104998,-0.15324,0.17708,1.00646,952.4,2006-05-01,-0.28044
-0.19022,2900,3.08461415731532,-0.04205,0.33944,1.18007,940.15,2007-01-01,-0.1954
-0.24557,2900,3.14363143631436,-0.07811,0.37326,1.17331,922.5,2007-06-01,-0.2155
-0.41167,3200,3.1432640832965,-0.11953,0.19955,0.71849,1018.05,2008-06-01,-0.31227
-0.43979,3400,2.58653480410803,-0.27548,-0.2518,0.41384,1314.5,2009-07-01,-0.29871
-0.38456,3400,2.98114861902674,-0.16728,-0.14721,0.62823,1140.5,2010-01-01,-0.18799
-0.34845,3400,2.82286520818631,-0.24388,-0.23095,0.44926,1204.45,2010-07-01,-0.18966
-0.2892,3700,3.50312440825601,-0.13822,-0.14212,0.54114,1056.2,2011-07-01,-0.09983
-0.27933,3700,3.19309600862999,-0.23924,-0.23246,0.30948,1158.75,2012-01-01,-0.16485
-0.26007,3700,3.21459600347524,-0.25717,-0.21423,0.31223,1151,2012-07-01,-0.2277
-0.30123,3700,3.40864598447684,-0.21952,-0.02997,0.3252,1085.475,2013-01-01,-0.19762
-0.26299,3900,3.43400545918817,-0.24638,0.07425,0.31653,1135.7,2013-07-01,-0.14578
-0.30133,3700,3.46669165183173,-0.25031,0.16576,0.26373,1067.3,2014-01-01,-0.25074
-0.19151,4100,4.00488400488401,-0.16478,0.09896,0.46884,1023.75,2014-07-01,-0.18685
-0.11236,4100,3.78473183790271,-0.20987,0.20462,0.36679,1083.3,2015-01-01,-0.13358
-0.0724,4300,3.76038478355925,-0.21495,0.25958,0.37347,1143.5,2015-07-01,-0.16666
-0.10226,4300,3.59006470465456,-0.27179,0.1512,0.33775,1197.75,2016-01-01,-0.14965
-0.08303,4400,3.85643542661817,-0.23483,0.11237,0.38458,1140.95,2016-07-01,-0.02126
-0.0946,4400,3.67754607380166,-0.27321,0.12906,0.29964,1196.45,2017-01-01,-0.01364
-0.13909,4400,3.84396977241952,-0.27472,0.14368,0.31772,1144.65,2017-07-01,-0.06505
-0.14905,4400,4.11503390226795,-0.22064,0.19905,0.29745,1069.25,2018-01-01,-0.06753
-0.14843,4500,4.03225806451613,-0.26819,0.15023,0.30252,1116,2018-07-01,-0.04709
-0.13336,4500,4.0228857500447,-0.27905,0.11857,0.31845,1118.6,2019-01-01,-0.0123
-0.16632,4500,3.81178264368303,-0.33593,0.06305,0.24965,1180.55,2019-07-09,-0.07059
-0.15051,4500,3.89239685148344,-0.31351,0.09825,0.24647,1156.1,2020-01-14,-0.11741
-0.21711,4500,3.74703359840127,-0.34378,0.03067,0.20932,1200.95,2020-07-01,-0.12398
-0.20588,4500,4.10078826263271,-0.27548,0.09665,0.1854,1097.35,2021-01-01,-0.07592
-0.20384,4600,3.99878297909332,-0.29225,0.1272,0.15674,1150.35,2021-07-01,-0.15822
