cny_raw,usd_raw,dollar_ex,jpy_raw,local_price,eur_raw,date,dollar_price,gbp_raw
2.2243,0.64208,8.56,1.02879,35,0.72065,2002-04-01,4.08878504672897,0.41701
3.12659,0.7873,6.8491,1.23549,35.5,0.57639,2004-05-01,5.18316275131039,0.54022
3.77893,0.98133,6.4326,1.588,39,0.69206,2005-06-01,6.06286726984423,0.76226
4.38623,1.27307,6.1023,2.1598,43,0.87063,2006-05-01,7.04652344198089,0.93163
3.80644,1.11202,6.1023,1.95309,41.5,0.78533,2007-01-01,6.80071448470249,0.77392
3.75644,1.01761,5.8139,2.00548,40,0.65113,2007-06-01,6.88006329658233,0.71694
3.3056,1.20598,5.07915,2.00542,40,0.47403,2008-06-01,7.87533347115167,0.72308
2.35901,0.72132,6.50925,0.77757,40,0.33094,2009-07-01,6.14510120213542,0.66612
2.83581,0.96174,5.69555,1.00902,40,0.44986,2010-01-01,7.02302674895313,0.91294
2.69871,0.92973,6.24625,0.96273,45,0.66285,2010-07-01,7.20432259355613,1.0681
2.65658,1.0447,5.41405,1.03546,45,0.68649,2011-07-01,8.31170750177778,1.13579
1.78382,0.61731,6.0399,0.63171,41,0.53208,2012-01-01,6.78819185748108,0.77544
1.88131,0.63105,6.09205,0.72533,43,0.62469,2012-07-01,7.05837936326852,0.69576
2.04888,0.79564,5.4831,1.23174,43,0.60767,2013-01-01,7.84227900275392,0.84603
1.87781,0.64735,6.1281,1.34821,46,0.61103,2013-07-01,7.50640492159071,0.86723
1.84172,0.6858,6.15745,1.6214,48,0.57108,2014-01-01,7.79543479849613,0.68484
1.84529,0.6179,6.1873,1.12879,48,0.56612,2014-07-01,7.75782651560455,0.57515
1.27411,0.31464,7.6225,1.00428,48,0.47687,2015-01-01,6.29714660544441,0.44158
1.0634,0.1794,8.14255,0.8923,46,0.39355,2015-07-01,5.6493358960031,0.25195
0.94312,0.05775,8.97465,0.67215,46.8,0.304,2016-01-01,5.21468803797363,0.23516
0.97829,0.09327,8.49355,0.58936,46.8,0.31016,2016-07-01,5.51006351878779,0.39841
1.00229,0.11973,8.64835,0.73948,49,0.39491,2017-01-01,5.66582064786925,0.51964
1.02739,0.11588,8.2852,0.75962,49,0.32455,2017-07-01,5.91416018925313,0.43847
0.96805,0.18219,7.8501,0.81879,49,0.29078,2018-01-01,6.24195870116304,0.41443
0.68713,-0.0521,8.0415,0.48987000000000003,42,0.10302,2018-07-01,5.22290617422123,0.23428
0.92043,0.05012,8.5329,0.62929,50,0.26234,2019-01-01,5.85967256149726,0.43867
0.59131,-0.15436,8.65275,0.35369,42,0.06161,2019-07-09,4.85394816676779,0.18351
0.91234,0.05322,8.87515,0.68495,53,0.30329,2020-01-14,5.97173005526667,0.35407
0.7909,-0.0282,9.37105,0.52633,52,0.15939,2020-07-01,5.54900464729139,0.2973
0.75932,0.0753,8.5439,0.62759,52,0.17859,2021-01-01,6.08621355587027,0.37147
0.82306,0.11544,9.0444,0.77651,57,0.25478,2021-07-01,6.30224227146079,0.32667
