DOLLAR_EX,DATE,USD_RAW,CNY_RAW,JPY_RAW,DOLLAR_PRICE,LOCAL_PRICE,GBP_RAW,EUR_RAW
28.5,2000-04-01,-0.44782,0.15917,-0.5003,1.3859649122807,39.5,-0.53832,-0.41786
28.9,2001-04-01,-0.5232,0.0129,-0.48921,1.21107266435986,35,-0.57442,-0.46451
31.2,2002-04-01,-0.49799,-0.01429,-0.37977,1.25,39,-0.5668,-0.47397
31.1,2003-04-01,-0.51353,0.1026,-0.39619,1.31832797427653,41,-0.58071,-0.55776
29,2004-05-01,-0.50059,0.15305,-0.37536,1.44827586206897,42,-0.56963,-0.55953
28.4055,2005-06-01,-0.5168,0.16546,-0.36885,1.47858689338332,42,-0.57023,-0.58735
28.67,2006-01-01,-0.49065,0.23224,-0.26641,1.60446459713987,46,-0.51616,-0.54339
27.06375,2006-05-01,-0.42787,0.3557,-0.20469,1.77359013440488,48,-0.51382,-0.52917
26.5335,2007-01-01,-0.42648,0.30518,-0.19809,1.84672206832872,49,-0.5183,-0.5152
25.64825,2007-06-01,-0.40545,0.40164,-0.11434,2.0274287719435,52,-0.49405,-0.51344
23.2336,2008-06-01,-0.28868,0.38835,-0.03089,2.53942565938985,59,-0.44439,-0.52469
32.7959,2009-07-01,-0.42775,0.1167,-0.40905,2.04293829411603,67,-0.4461,-0.55753
29.927,2010-01-01,-0.34664,0.27752,-0.33089,2.3390249607378,70,-0.36289,-0.51712
30.44325,2010-07-01,-0.3753,0.19736,-0.36462,2.33220828919383,71,-0.33051,-0.4617
27.7525,2011-07-01,-0.33519,0.1889,-0.33819,2.70245923790649,75,-0.30557,-0.45166
31.7693,2012-01-01,-0.39254,0.0456,-0.38713,2.54963124777694,81,-0.33315,-0.42455
32.76525,2012-07-01,-0.47105,-0.0656,-0.44048,2.28901046077781,75,-0.45007,-0.47312
30.045,2013-01-01,-0.44459,-0.05695,-0.3097,2.42569479114661,72.88,-0.429,-0.50273
32.9389,2013-07-01,-0.42035,0.01261,-0.17374,2.64125395808603,87,-0.34298,-0.43313
33.93925,2014-01-01,-0.43291,-0.04407,-0.11818,2.62233255007108,89,-0.43323,-0.4715
34.83725,2014-07-01,-0.46721,-0.06302,-0.29897,2.55473666836504,89,-0.48129,-0.48426
65.227,2015-01-01,-0.71514,-0.50725,-0.56571,1.36446563539639,89,-0.68764,-0.67999
56.815,2015-07-01,-0.60683,-0.31213,-0.36917,1.88330546510605,107,-0.58264,-0.53543
74.655,2016-01-01,-0.69026,-0.43099,-0.51034,1.52702431183444,114,-0.63831,-0.61815
63.40755,2016-07-01,-0.59321,-0.2639,-0.40862,2.05022903423961,130,-0.47967,-0.5125
60.4375,2017-01-01,-0.5749,-0.23985,-0.33962,2.15098241985522,130,-0.42308,-0.47043
60.1369,2017-07-01,-0.57016,-0.21905,-0.32219,2.27813538775694,137,-0.4459,-0.48978
56.745,2018-01-01,-0.56611,-0.27768,-0.33246,2.29095074455899,130,-0.48087,-0.52625
62.14065,2018-07-01,-0.62032,-0.32422,-0.40324,2.09202832606353,130,-0.50561,-0.55819
66.685,2019-01-01,-0.70393,-0.45855,-0.54063,1.65209567368974,110.17,-0.59438,-0.64409
63.83875,2019-07-09,-0.64523,-0.3324,-0.43208,2.03638072487322,130,-0.50348,-0.55462
61.4325,2020-01-14,-0.61243,-0.29628,-0.37996,2.1975338786473,135,-0.50172,-0.5204
70.585,2020-07-01,-0.66505,-0.38273,-0.47392,1.91258766026776,135,-0.55286,-0.60039
74.63,2021-01-01,-0.6804,-0.4771,-0.51625,1.80892402519094,135,-0.59238,-0.6497
74.53,2021-07-01,-0.59866,-0.34406,-0.36081,2.26754327116597,169,-0.52266,-0.54853
