jpy_raw,usd_raw,cny_raw,dollar_price,eur_raw,local_price,gbp_raw,dollar_ex,date
-0.09503,0,1.09927,2.51,0.05427,2.51,-0.16389,1,2000-04-01
0.07129,0,1.12436,2.54,0.1231,2.54,-0.10743,1,2001-04-01
0.2355,0,0.96354,2.49,0.04785,2.49,-0.13706,1,2002-04-01
0.24122,0,1.26655,2.71,-0.09091,2.71,-0.1381,1,2003-04-01
0.25076,0,1.30885,2.9,-0.118,2.9,-0.13824,1,2004-05-01
0.30619,0,1.41198,3.06,-0.146,3.06,-0.11057,1,2005-06-01
0.44024,0,1.41923,3.15,-0.10354,3.15,-0.0501,1,2006-01-01
0.3901,0,1.36958,3.1,-0.17705,3.1,-0.15021,1,2006-05-01
0.39823,0,1.27575,3.22,-0.15468,3.22,-0.16009,1,2007-01-01
0.48962,0,1.3574600000000001,3.41,-0.18164,3.41,-0.14902,1,2007-06-01
0.3624,0,0.95179,3.57,-0.3318,3.57,-0.2189,1,2008-06-01
0.03268,0,0.95142,3.57,-0.22679,3.57,-0.03207,1,2009-07-01
0.0241,0,0.95531,3.58,-0.26093,3.58,-0.02488,1,2010-01-01
0.0171,0,0.9167,3.733333333,-0.1383,3.733333333,0.0717,1,2010-07-01
-0.00452,0,0.78832,4.065,-0.17519,4.065,0.04455,1,2011-07-01
0.00891,0,0.72127,4.19722,-0.0527,4.19722,0.09777,1,2012-01-01
0.0578,0,0.76653,4.3275,-0.0039,4.3275,0.03967,1,2012-07-01
0.24287,0,0.69793,4.367395833,-0.10468,4.367395833,0.02806,1,2013-01-01
0.42545,0,0.74694,4.556666667,-0.02205,4.556666667,0.13348,1,2013-07-01
0.55499,0,0.68568,4.624166667,-0.06805,4.624166667,-5.7e-4,1,2014-01-01
0.31577,0,0.75863,4.795,-0.03201,4.795,-0.02642,1,2014-07-01
0.52458,0,0.72983,4.79,0.1234,4.79,0.09655,1,2015-01-01
0.60446,0,0.74953,4.79,0.18158,4.79,0.06151,1,2015-07-01
0.58086,0,0.83704,4.93,0.23281,4.93,0.16773,1,2016-01-01
0.45377,0,0.80952,5.04,0.19839,5.04,0.27912,1,2016-07-01
0.55349,0,0.78819,5.06,0.24576,5.06,0.35715,1,2017-01-01
0.57689,0,0.81686,5.3,0.187,5.3,0.28909,1,2017-07-01
0.53849,0,0.66475,5.28,0.09186,5.28,0.19645,1,2018-01-01
0.57176,0,0.77986,5.51,0.16365,5.51,0.30213,1,2018-07-01
0.55153,0,0.82877,5.58,0.20209,5.58,0.37,1,2019-01-01
0.6008,0,0.88179,5.74,0.2554,5.74,0.39955,1,2019-07-09
0.59981,0,0.81572,5.67,0.23744,5.67,0.28565,1,2020-01-14
0.57062,0,0.84286,5.71,0.19303,5.71,0.33494,1,2020-07-01
0.51361,0,0.63612,5.66,0.09606,5.66,0.27543,1,2021-01-01
0.59265,0,0.63439,5.65,0.12492,5.65,0.18937,1,2021-07-01
